1001	Jan Mayen	70.90	-8.70	9.00	Norway
1002	Grahuken	79.80	14.50	15.00	Norway
1003	Hornsund	77.00	15.50	12.00	Norway
1004	Ny-Alesund Ii	78.90	11.90	8.00	Norway
1006	Edgeoya	78.20	22.80	14.00	Norway
1007	Ny Alesund	78.90	11.90	12.00	Norway
1008	Svalbard Lufthavn	78.20	15.50	29.00	Norway
1009	Phippsoya	80.70	20.90	4.00	Norway
1010	Andoya	69.30	16.20	14.00	Norway
1011	Kvitoya	80.10	31.40	16.00	Norway
1015	Hekkingen Fyr	69.60	17.80	14.00	Norway
1016	Senja-Grasmyrskogen	69.30	17.80	50.00	Norway
1023	Bardufoss	69.10	18.50	79.00	Norway
1025	Tromso Langnes	69.70	18.90	10.00	Norway
1026	Tromso	69.60	18.90	114.00	Norway
1028	Bjornoya	74.50	19.00	16.00	Norway
1033	Torsvag Fyr	70.20	19.50	24.00	Norway
1034	Fugloykalven Fyr	70.30	20.20	38.00	Norway
1035	Oteren	69.20	19.90	12.00	Norway
1041	Nodreisa-Oyeng	69.70	21.00	5.00	Norway
1043	Loppa	70.30	21.50	11.00	Norway
1045	Nordstraum I Kvaenangen	69.80	21.90	6.00	Norway
1046	Sorkjosen	69.80	201.00	6.00	Norway
1047	Kautokeino	69.00	23.00	308.00	Norway
1049	Alta Lufthavn	691.00	23.40	3.00	Norway
1051	Suolovuopmi	69.60	23.50	374.00	Norway
1052	Hammerfest	70.70	23.70	81.00	Norway
1055	Fruholmen Fyr	71.10	24.00	14.00	Norway
1057	Cuovddatmohkki	69.40	24.40	286.00	Norway
1059	Banak	70.10	241.00	8.00	Norway
1062	Hopen	76.50	25.10	10.00	Norway
1065	Karasjok	69.50	25.50	133.00	Norway
1066	Helnes Fyr	71.10	26.20	33.00	Norway
1068	Honningsvag Valan	71.00	251.00	14.00	Norway
1074	Mehamn	71.00	27.80	13.00	Norway
1075	Rustefjelbma	70.40	28.20	11.00	Norway
1078	Sletnes Fyr	71.10	28.20	10.00	Norway
1083	Berlevag	70.90	29.00	13.00	Norway
1088	Vadso	70.10	29.90	39.00	Norway
1089	Kirkenes Lufthavn	69.70	29.90	91.00	Norway
1092	Makkaur Fyr	70.70	30.10	9.00	Norway
1097	Svartnes	70.30	31.10	12.00	Norway
1098	Vardo	70.40	31.10	15.00	Norway
1102	Sklinna Fyr	65.20	11.00	16.00	Norway
1103	Leka	65.10	11.70	47.00	Norway
1106	Rost Ii	67.50	12.10	11.00	Norway
1107	Rost Flyplass	67.50	12.10	4.00	Norway
1108	Vega-Vallsjo	65.70	11.90	9.00	Norway
1110	Ytterholmen Fyr	66.00	11.70	33.00	Norway
1112	Bronnoysund Bronnoy	65.50	12.20	9.00	Norway
1115	Myken	66.80	12.50	13.00	Norway
1116	Sandnessjoen Stokka	651.00	12.50	17.00	Norway
1121	Nord-Solvaer	66.40	12.60	10.00	Norway
1122	Mosjoen Kjaerstad	65.80	13.10	70.00	Norway
1134	Majavatn Iii	65.20	13.40	339.00	Norway
1137	Stott	66.90	13.40	12.00	Norway
1138	Tennholmen Fyr	67.30	13.50	14.00	Norway
1141	Leknes	68.20	13.60	26.00	Norway
1147	Susendal-Bjormo	65.50	14.00	265.00	Norway
1149	Rana-Basmoen	66.30	14.10	42.00	Norway
1151	Mo I rana Rossvoll	66.40	14.30	70.00	Norway
1152	Bodo Vi	67.30	14.40	13.00	Norway
1154	Litloy Fyr	68.60	14.30	30.00	Norway
1155	Bo I Vesteralen Ii	68.60	14.50	13.00	Norway
1160	Skrova Fyr	68.20	14.60	11.00	Norway
